node,segment,theta,lambda,original,new,tsts_original,tsts_new,rses_original,rses_new,eses_original,eses_new,total_change,tsts_change,tsts_judge,rses_change,rses_judge,eses_change,eses_judge
2321,2221,0,0.0233346834899391,1727123593.8386018,1727657042.062078,17233038.48744869,17961575.65280847,59682086.36312488,60327615.666624136,59682086.36312488,60332480.18005925,533448.2234761715,728537.1653597802,True,645529.303499259,True,650393.8169343695,True
3774,3610,0,0.0233268644425363,1727123593.8386018,1727282037.7795162,7184907.968603239,7348833.576727373,25529224.596242215,25686471.834669612,25529224.596242215,25686155.62734703,158443.94091439247,163925.6081241332,True,157247.23842739686,True,156931.03110481426,True
4442,3492,0,0.0232881518908465,1727123593.8386018,1727223979.3953042,13818128.048637236,13933340.26613799,69216008.38428345,69323746.73171419,69216008.38428345,69324000.52135633,100385.55670237541,115212.2175007537,True,107738.34743073583,True,107992.1370728761,True
3117,2982,0,0.023280770036173,1727123593.8386018,1727323720.3154483,11139438.910158616,11367441.985974355,45938232.137151845,46154625.13870228,45938232.137151845,46154970.7187142,200126.47684645653,228003.0758157391,True,216393.00155043602,True,216738.58156235516,True
5638,5400,0,0.0232388045206354,1727123593.8386018,1727592989.9733129,12028056.265962034,12563291.08017089,35723831.50301094,36206845.70423154,35723831.50301094,36209525.910468444,469396.13471102715,535234.8142088559,True,483014.20122059435,True,485694.4074575007,True
1460,5814,0,0.0232318869806793,1727123593.8386018,1727166995.653647,13995043.259645646,14042269.488755401,80834249.24729471,80879498.53742938,80834249.24729471,80879543.99040204,43401.81504511833,47226.229109754786,True,45249.29013466835,True,45294.74310733378,True
5836,5589,0,0.0232068097663979,1727123593.8386018,1727204362.894237,5052913.246687697,5137634.129527504,80387352.07680956,80468339.39445388,80387352.07680956,80468110.38186552,80769.05563521385,84720.88283980638,True,80987.31764432788,True,80758.30505596101,True
621,3447,0,0.0232053593111342,1727123593.8386018,1727129772.381658,10668624.193693034,10680361.355124392,36842509.82235705,36853297.40988945,36842509.82235705,36853176.38053504,6178.5430562496185,11737.161431357265,True,10787.587532401085,True,10666.558177985251,True
5774,5071,0,0.0232020299037309,1727123593.8386018,1727155516.4401767,15633020.62900797,15666963.156641826,80567401.85452291,80599491.87797223,80567401.85452291,80599525.78048761,31922.601574897766,33942.52763385512,True,32090.02344931662,True,32123.925964698195,True
1839,1761,0,0.0231876877230578,1727123593.8386018,1727299321.050576,3011016.4109826377,3166867.206688681,44753009.42955666,44915777.10410169,44753009.42955666,44916844.71463702,175727.21197414398,155850.7957060435,True,162767.67454502732,True,163835.2850803584,True
2301,2203,0,0.0231470402592766,1727123593.8386018,1727290293.6653588,8166724.896620709,8308624.835673599,111979923.49357635,112116700.935074,111979923.49357635,112116982.14153133,166699.8267569542,141899.93905288912,True,136777.44149765372,True,137058.6479549855,True
3699,3537,0,0.0231367856366073,1727123593.8386018,1727671441.0689564,12288123.744671883,12860678.615858681,33222473.017000016,33777889.72700483,33222473.017000016,33778881.003757626,547847.2303545475,572554.8711867984,True,555416.7100048177,True,556407.98675761,True
5372,4564,0,0.023104007908384,1727123593.8386018,1727276049.118746,30886861.41813942,31061572.057050392,91995110.70903008,92164243.20053416,91995110.70903008,92164302.17700374,152455.28014421463,174710.63891097158,True,169132.49150408804,True,169191.4679736644,True
1460,5068,0,0.0231020983336958,1727123593.8386018,1727158540.743969,15268938.708051696,15308542.485732878,84326362.08471103,84363301.21801955,84326362.08471103,84363290.71271521,34946.905367136,39603.77768118121,True,36939.13330851495,True,36928.628004178405,True
6946,3815,0,0.0230967790206793,1727123593.8386018,1727196765.1638474,11141803.704518177,11216937.109693728,25466892.533871233,25540245.24621793,25466892.533871233,25540312.94461005,73171.32524561882,75133.40517555177,True,73352.71234669536,True,73420.41073881835,True
5774,5070,0,0.0230949895240113,1727123593.8386018,1727155756.3709514,15633020.62900797,15667854.019230474,80567401.85452291,80599478.75718382,80567401.85452291,80599491.76682205,32162.532349586487,34833.39022250287,True,32076.902660906315,True,32089.912299141288,True
621,598,0,0.0230720181458606,1727123593.8386018,1727224313.279791,5199802.372479361,5288586.465609664,40416218.81712132,40499560.530765876,40416218.81712132,40498757.46440849,100719.4411892891,88784.09313030355,True,83341.7136445567,True,82538.64728716761,True
0,517,0,0.0230177166077919,1727123593.8386018,1727255863.5318043,18508157.113219276,18652788.8657639,55777394.13212627,55917277.52846078,55777394.13212627,55917327.97632019,132269.69320249557,144631.75254462287,True,139883.39633450657,True,139933.8441939205,True
1300,1247,0,0.023002051442796,1727123593.8386018,1727400945.7891219,12466141.389441382,12743311.706135666,46479740.25677763,46756437.7456476,46479740.25677763,46756489.09472297,277351.9505200386,277170.31669428386,True,276697.4888699725,True,276748.83794534206,True
5774,3389,0,0.022979679769973,1727123593.8386018,1727161046.0991175,15053864.128832564,15088144.62604199,70561103.73652229,70593804.48162873,70561103.73652229,70593830.1220316,37452.26051568985,34280.497209426016,True,32700.745106443763,True,32726.385509312153,True
1460,5813,0,0.022970759947786,1727123593.8386018,1727167142.3621268,13995043.259645646,14042501.944679322,80834249.24729471,80879379.89507236,80834249.24729471,80879482.20684616,43548.52352499962,47458.68503367528,True,45130.64777764678,True,45232.95955145359,True
6748,4529,0,0.0229402842925992,1727123593.8386018,1727275622.9275882,19292592.48854152,19452185.647133186,63681706.93777803,63830423.721274555,63681706.93777803,63832553.307413384,152029.0889863968,159593.15859166533,True,148716.7834965214,True,150846.369635351,True
1809,465,0,0.0229116178697831,1727123593.8386018,1727282910.4160748,18174352.629753217,18356911.303357597,20341622.802776717,20521565.323586375,20341622.802776717,20521590.475649633,159316.5774729252,182558.67360438034,True,179942.52080965787,True,179967.67287291586,True
535,514,0,0.0228543833325682,1727123593.8386018,1727445570.4277735,9821171.902938306,10205015.135063523,78513191.50126432,78867971.05023079,78513191.50126432,78868790.36839774,321976.589171648,383843.2321252171,True,354779.5489664674,True,355598.8671334237,True
2233,2137,0,0.0228357854583545,1727123593.8386018,1727327330.8614056,8018054.282105723,8269828.136187103,133931075.99390964,134134515.98994946,133931075.99390964,134135156.82016924,203737.02280378342,251773.85408137925,True,203439.9960398227,True,204080.82625959814,True
5774,3388,0,0.0228356464345203,1727123593.8386018,1727161193.3908608,15053864.128832564,15088347.002117325,70561103.73652229,70593795.776591,70561103.73652229,70593812.22578949,37599.55225896835,34482.87328476086,True,32692.04006871581,True,32708.48926720023,True
1460,2520,0,0.0228348550122323,1727123593.8386018,1727150769.1994557,14285664.370600034,14315088.80838123,80834249.24729471,80862416.68632574,80834249.24729471,80862456.74800196,27175.360853910446,29424.437781196088,True,28167.439031034708,True,28207.500707253814,True
1640,1330,0,0.0228315031124692,1727123593.8386018,1727226504.5936558,21693618.349145964,21803521.532078948,75649886.41510573,75753546.4236005,75649886.41510573,75753761.33776903,102910.75505399704,109903.18293298408,True,103660.00849476457,True,103874.92266330123,True
1261,1209,0,0.0228141250554646,1727123593.8386018,1727367927.0762365,6640824.5888757305,6917467.854381917,72646556.94573724,72904680.12232102,72646556.94573724,72905225.94571406,244333.2376346588,276643.2655061865,True,258123.17658378184,True,258668.9999768138,True
3870,996,0,0.0228097507753124,1727123593.8386018,1727177201.5588944,13408431.459813664,13464461.417448804,46864459.526350334,46917986.61843754,46864459.526350334,46918036.32504302,53607.72029256821,56029.95763514005,True,53527.092087209225,True,53576.798692688346,True
5372,5145,0,0.0227954643000471,1727123593.8386018,1727421118.0486119,17311783.149717256,17642048.42292333,90776379.41753468,91095117.83156733,90776379.41753468,91095332.88636033,297524.2100100517,330265.2732060738,True,318738.414032653,True,318953.4688256532,True
