segment_id,edge_id,OD_id,type,length,matching_nodes,shared_distance,detour
36,[3440],2,0,500.00,[3336],[5500],[0]
37,[3439],2,0,500.00,[],[],[]
38,[3438],2,0,500.00,"[1996, 2606]","[18500, 12500]","[1000, 0]"
39,[3437],2,0,500.00,"[1996, 2606]","[18500, 12500]","[1000, 0]"
40,[3436],2,0,500.00,"[1996, 2606]","[18500, 12500]","[1000, 0]"
41,[3435],2,0,500.00,"[6226, 2606, 7023]","[13500, 12500, 4000]","[1000, 1000, 1000]"
42,[3434],2,0,500.00,[2446],[7500],[0]
43,[3433],2,0,500.00,[1825],[6000],[0]
44,[3432],2,0,500.00,[1825],[6000],[0]
45,[3431],2,0,500.00,"[1201, 3419, 1825]","[5000, 10000, 6000]","[1000, 0, 0]"
46,[3430],2,0,500.00,"[1201, 3419, 1825]","[5000, 10000, 6000]","[1000, 0, 1000]"
47,[3429],2,0,500.00,[3419],[10000],[1000]
48,[3428],2,0,500.00,[],[],[]
49,[3427],2,0,500.00,[],[],[]
50,[3426],2,0,500.00,[],[],[]
51,[3425],2,0,500.00,[],[],[]
52,[984],2,0,500.00,[6782],[12500],[1000]
53,[983],2,0,500.00,[6782],[12500],[1000]
54,[982],2,0,500.00,[],[],[]
55,[981],2,0,500.00,[],[],[]
56,[980],2,0,500.00,[5080],[6000],[1000]
57,[979],2,0,500.00,[5080],[6000],[1000]
58,[978],2,0,500.00,[],[],[]
59,[977],2,0,500.00,[],[],[]
60,[976],2,0,500.00,[],[],[]
61,[975],2,0,500.00,[2633],[8000],[1000]
62,[974],2,0,500.00,[2633],[8000],[1000]
63,[973],2,0,500.00,[],[],[]
64,[972],2,0,500.00,[],[],[]
65,[971],2,0,500.00,[],[],[]
66,[970],2,0,500.00,[],[],[]
67,[969],2,0,500.00,[2940],[5000],[1000]
68,[968],2,0,500.00,[2940],[5000],[1000]
69,[967],2,0,500.00,[],[],[]
70,[966],2,0,500.00,[],[],[]
71,[965],2,0,500.00,[],[],[]
72,[964],2,0,500.00,[],[],[]
73,[963],2,0,500.00,[],[],[]
74,[962],2,0,500.00,[],[],[]
75,[961],2,0,500.00,[6127],[1000],[1000]
76,[960],2,0,500.00,[6127],[1000],[1000]
77,[959],2,0,500.00,[],[],[]
78,"[2738, 1867, 1222, 351]",3,1,0.00,[81],[5500],[0]
79,[1868],3,0,500.00,"[81, 2802]","[5500, 4000]","[1000, 0]"
80,[1869],3,0,500.00,[2802],[4000],[0]
81,[1870],3,0,500.00,[2802],[4000],[0]
82,[1871],3,0,500.00,[2802],[4000],[1000]
83,[1872],3,0,500.00,[5719],[3000],[1000]
84,[1873],3,0,500.00,"[1798, 5719]","[1500, 3000]","[0, 1000]"
85,[1874],3,0,500.00,[1798],[1500],[0]
86,[1875],3,0,500.00,[1798],[1500],[0]
87,[1876],3,0,500.00,"[5849, 1798]","[1000, 1500]","[1000, 1000]"
88,[1877],3,0,500.00,"[5849, 4570, 6506]","[1000, 500, 500]","[1000, 1000, 1000]"
89,[1878],3,0,500.00,[],[],[]
90,"[2907, 1083, 212, 2036]",4,1,0.00,"[2963, 2068, 94]","[6000, 4500, 11500]","[1000, 1000, 0]"
91,[2037],4,0,500.00,"[2963, 94]","[6000, 11500]","[1000, 1000]"
92,[2038],4,0,500.00,[5449],[9500],[0]
93,[2039],4,0,500.00,[],[],[]
94,[2040],4,0,500.00,[1659],[9500],[1000]
95,[2041],4,0,500.00,[1659],[9500],[1000]
96,[2042],4,0,500.00,[2079],[7500],[0]
97,[2043],4,0,500.00,[2079],[7500],[0]
98,[2044],4,0,500.00,[2079],[7500],[0]
99,[2045],4,0,500.00,"[1121, 2079]","[6000, 7500]","[0, 1000]"
100,[2046],4,0,500.00,"[1121, 3094]","[6000, 6500]","[0, 1000]"
101,[2047],4,0,500.00,"[1121, 3094]","[6000, 6500]","[0, 1000]"
102,[532],4,0,500.00,[1121],[6000],[1000]
103,[533],4,0,500.00,[],[],[]
104,[534],4,0,500.00,[],[],[]
105,[535],4,0,500.00,[2927],[3000],[0]
106,[536],4,0,500.00,[2927],[3000],[0]
107,[537],4,0,500.00,[2927],[3000],[0]
108,[538],4,0,500.00,[2927],[3000],[1000]
109,[539],4,0,500.00,[],[],[]
110,[540],4,0,500.00,[],[],[]
111,[541],4,0,500.00,[],[],[]
112,[542],4,0,500.00,[],[],[]
113,[543],4,0,500.00,[],[],[]
114,"[1354, 483, 3206, 2335]",5,1,0.00,[119],[7500],[0]
115,[484],5,0,500.00,[119],[7500],[1000]
116,[485],5,0,500.00,[],[],[]
117,[486],5,0,500.00,[],[],[]
118,[487],5,0,500.00,[],[],[]
119,[488],5,0,500.00,[],[],[]
120,[489],5,0,500.00,[],[],[]
121,[490],5,0,500.00,[],[],[]
122,[491],5,0,500.00,[1996],[2500],[0]
123,[3437],5,0,500.00,[1996],[2500],[0]
124,[3436],5,0,500.00,[1996],[2500],[0]
125,[3435],5,0,500.00,[1996],[2500],[1000]
126,[3434],5,0,500.00,[],[],[]
127,[3433],5,0,500.00,[],[],[]
128,[3432],5,0,500.00,[174],[500],[1000]
129,[3431],5,0,500.00,[],[],[]
130,"[2649, 1161, 290, 1778]",6,1,0.00,"[136, 6692]","[18000, 17000]","[0, 0]"
131,[1779],6,0,500.00,"[136, 5827, 6692]","[18000, 3500, 17000]","[1000, 0, 0]"
132,[1780],6,0,500.00,"[5827, 6692]","[3500, 17000]","[0, 0]"
133,[1781],6,0,500.00,"[5827, 6692]","[3500, 17000]","[0, 1000]"
134,[1782],6,0,500.00,[5827],[3500],[1000]
135,[1783],6,0,500.00,[],[],[]
136,[1784],6,0,500.00,[],[],[]
137,[1785],6,0,500.00,[2842],[10500],[0]
138,[1786],6,0,500.00,"[3528, 2842, 302]","[3500, 10500, 6000]","[0, 0, 0]"
