OD_id,origin_id,destination_id,order_number,lambda
69,314,33,1579,0.025800654
70,27,354,1579,0.025800654
71,77,84,1575,0.025735294
72,27,131,1572,0.025686275
73,314,335,1562,0.025522876
74,314,310,1557,0.025441176
75,27,397,1548,0.025294118
76,27,280,1548,0.025294118
77,77,353,1528,0.02496732
78,27,123,1525,0.024918301
79,27,443,1519,0.024820261
80,77,582,1518,0.024803922
81,314,10,1504,0.024575163
82,314,9,1489,0.024330065
83,27,68,1485,0.024264706
84,105,473,1476,0.024117647
85,314,302,1469,0.024003268
86,473,27,1467,0.023970588
87,27,33,1466,0.023954248
88,314,471,1460,0.023856209
89,27,529,1453,0.02374183
90,280,27,1441,0.023545752
91,314,16,1437,0.023480392
92,80,380,1428,0.023333333
93,582,105,1426,0.023300654
94,348,27,1421,0.023218954
95,10,27,1419,0.023186275
96,314,95,1398,0.022843137
97,335,331,1388,0.022679739
98,26,27,1384,0.022614379
99,314,331,1378,0.02251634
100,27,498,1378,0.02251634
101,27,522,1374,0.02245098
102,32,314,1363,0.022271242
103,105,367,1350,0.022058824
104,335,224,1338,0.021862745
105,27,95,1329,0.021715686
106,335,310,1320,0.021568627
107,314,6,1313,0.021454248
108,311,314,1305,0.021323529
109,105,230,1305,0.021323529
110,236,27,1300,0.02124183
111,314,582,1298,0.02120915
112,105,310,1293,0.021127451
113,107,27,1290,0.021078431
114,9,314,1285,0.020996732
115,105,302,1270,0.020751634
116,105,354,1270,0.020751634
117,27,31,1268,0.020718954
118,522,314,1262,0.020620915
119,310,27,1259,0.020571895
120,380,105,1253,0.020473856
121,353,27,1245,0.020343137
122,331,80,1244,0.020326797
123,582,380,1236,0.020196078
124,80,105,1235,0.020179739
125,313,27,1234,0.020163399
126,335,367,1232,0.020130719
127,314,311,1230,0.020098039
128,335,16,1220,0.019934641
129,27,348,1220,0.019934641
130,522,27,1214,0.019836601
131,380,314,1211,0.019787582
132,27,77,1207,0.019722222
133,33,27,1207,0.019722222
134,68,27,1201,0.019624183
135,16,27,1201,0.019624183
136,380,80,1199,0.019591503
137,335,9,1198,0.019575163
138,27,394,1197,0.019558824
139,27,347,1182,0.019313725
140,105,331,1181,0.019297386
141,582,224,1180,0.019281046
142,27,145,1178,0.019248366
143,77,10,1178,0.019248366
144,335,473,1177,0.019232026
145,105,123,1176,0.019215686
146,314,379,1174,0.019183007
147,77,310,1174,0.019183007
148,105,397,1174,0.019183007
149,311,380,1172,0.019150327
150,314,68,1171,0.019133987
151,311,582,1167,0.019068627
152,532,27,1164,0.019019608
153,473,48,1161,0.018970588
154,331,314,1159,0.018937908
155,27,170,1149,0.01877451
156,105,393,1143,0.018676471
157,596,27,1140,0.018627451
158,105,10,1134,0.018529412
159,27,471,1134,0.018529412
160,80,224,1132,0.018496732
161,473,302,1132,0.018496732
162,335,230,1131,0.018480392
163,313,105,1128,0.018431373
164,105,32,1127,0.018415033
165,224,80,1123,0.018349673
166,314,367,1122,0.018333333
167,27,586,1121,0.018316993
168,27,204,1103,0.018022876
169,522,80,1101,0.017990196
170,473,588,1100,0.017973856
171,314,31,1100,0.017973856
172,9,582,1097,0.017924837
173,9,380,1092,0.017843137
174,9,473,1086,0.017745098
175,77,397,1086,0.017745098
176,314,475,1079,0.017630719
177,48,473,1079,0.017630719
178,27,25,1076,0.017581699
179,335,10,1074,0.01754902
180,473,80,1071,0.0175
181,105,219,1069,0.01746732
182,582,80,1068,0.01745098
183,9,105,1062,0.017352941
184,105,353,1061,0.017336601
185,27,15,1060,0.017320261
186,331,582,1060,0.017320261
187,27,393,1054,0.017222222
188,473,380,1053,0.017205882
189,314,354,1052,0.017189542
190,236,80,1050,0.017156863
191,77,230,1042,0.017026144
192,236,380,1042,0.017026144
193,311,224,1042,0.017026144
194,380,582,1042,0.017026144
195,27,107,1041,0.017009804
196,335,379,1039,0.016977124
197,77,9,1039,0.016977124
198,68,105,1037,0.016944444
199,27,48,1035,0.016911765
200,77,219,1034,0.016895425
201,331,380,1032,0.016862745
202,33,314,1031,0.016846405
203,77,473,1025,0.016748366
204,77,335,1024,0.016732026
205,68,314,1024,0.016732026
206,84,80,1022,0.016699346
207,27,243,1020,0.016666667
208,9,224,1020,0.016666667
209,335,397,1016,0.016601307
210,68,32,1016,0.016601307
211,77,394,1015,0.016584967
212,105,33,1015,0.016584967
213,335,123,1013,0.016552288
214,473,105,1011,0.016519608
215,588,27,1007,0.016454248
216,27,596,1006,0.016437908
217,582,310,1005,0.016421569
218,313,582,1003,0.016388889
219,27,532,1003,0.016388889
220,473,310,1001,0.016356209
221,77,367,1001,0.016356209
222,314,348,1000,0.016339869
223,314,558,998,0.01630719
224,27,6,997,0.01629085
225,105,9,995,0.01625817
226,314,97,995,0.01625817
227,32,68,993,0.01622549
228,473,230,993,0.01622549
229,27,663,991,0.01619281
230,80,27,990,0.016176471
231,313,380,990,0.016176471
232,27,84,984,0.016078431
233,443,27,980,0.016013072
234,27,50,980,0.016013072
235,105,77,979,0.015996732
236,335,302,976,0.015947712
237,105,522,975,0.015931373
238,27,588,973,0.015898693
239,582,335,972,0.015882353
240,473,224,971,0.015866013
241,596,380,971,0.015866013
242,224,314,971,0.015866013
243,582,331,969,0.015833333
244,380,224,967,0.015800654
245,367,27,967,0.015800654
246,27,236,964,0.015751634
247,105,68,963,0.015735294
248,311,80,962,0.015718954
249,314,48,962,0.015718954
250,479,473,960,0.015686275
251,663,27,959,0.015669935
252,224,380,957,0.015637255
253,130,27,949,0.015506536
254,314,295,949,0.015506536
255,107,80,947,0.015473856
256,224,105,946,0.015457516
257,27,313,942,0.015392157
258,77,243,941,0.015375817
259,558,27,941,0.015375817
260,27,295,941,0.015375817
261,582,302,940,0.015359477
262,27,265,938,0.015326797
263,314,230,935,0.015277778
264,105,379,934,0.015261438
265,335,32,930,0.015196078
266,522,582,928,0.015163399
267,582,9,926,0.015130719
268,123,27,922,0.015065359
269,105,311,921,0.01504902
270,314,663,920,0.01503268
271,105,334,918,0.015
272,224,582,918,0.015
273,473,313,916,0.01496732
274,310,314,916,0.01496732
275,313,80,908,0.014836601
276,380,379,907,0.014820261
277,335,393,903,0.014754902
278,6,27,902,0.014738562
279,77,443,900,0.014705882
280,105,588,898,0.014673203
281,10,582,898,0.014673203
282,10,380,896,0.014640523
283,302,27,896,0.014640523
284,313,224,896,0.014640523
285,3,27,896,0.014640523
286,314,353,896,0.014640523
287,313,310,896,0.014640523
288,26,353,893,0.014591503
289,596,80,892,0.014575163
290,311,473,890,0.014542484
291,582,16,888,0.014509804
292,380,16,886,0.014477124
293,27,141,883,0.014428105
294,230,380,880,0.014379085
295,314,3,879,0.014362745
296,314,219,879,0.014362745
297,16,80,879,0.014362745
298,582,10,878,0.014346405
299,68,310,878,0.014346405
300,674,27,877,0.014330065
301,80,10,874,0.014281046
302,84,380,871,0.014232026
303,32,582,869,0.014199346
304,335,219,869,0.014199346
305,27,609,869,0.014199346
306,77,379,868,0.014183007
307,105,84,867,0.014166667
308,314,689,866,0.014150327
309,313,9,863,0.014101307
310,27,11,863,0.014101307
311,230,473,862,0.014084967
312,314,397,861,0.014068627
313,230,105,860,0.014052288
314,582,471,859,0.014035948
315,473,123,857,0.014003268
316,236,105,856,0.013986928
317,582,123,855,0.013970588
318,77,596,855,0.013970588
319,10,80,854,0.013954248
320,311,331,847,0.013839869
321,105,394,847,0.013839869
322,27,562,845,0.01380719
323,27,535,845,0.01380719
324,6,314,843,0.01377451
325,522,105,843,0.01377451
326,473,9,839,0.01370915
327,10,314,838,0.01369281
328,77,609,838,0.01369281
329,27,3,837,0.013676471
330,311,367,837,0.013676471
